id,name,specialization,created_at
1,Cody Rodriguez,Cardiology,2024-05-29T07:31:57
2,Megan Reyes,Endocrinology,2025-02-11T13:23:29
3,Luis Erickson II,Oncology,2024-10-15T06:14:12
4,William Jackson,Oncology,2023-11-15T20:27:20
5,Jamie Ward,Endocrinology,2024-05-07T10:59:42
6,Jennifer Sweeney,Cardiology,2024-07-28T08:14:08
7,Taylor Ross,Gastroenterology,2024-07-27T06:35:11
8,Mikayla Simmons,Family Medicine,2024-10-31T14:17:34
9,Laura Miller,Nephrology,2024-04-20T14:03:32
10,David Lee,Cardiology,2025-04-20T10:45:06
